"","Actual","Predicted","Profit","Signals"
"2018-03-27",159.080002,169.96689474351,0.0684365891792611,"Buy"
"2018-03-28",157.25,169.208363465498,0.0760468264896559,"Buy"
"2018-03-29",160.130005,168.31014881004,0.0510843911485538,"Buy"
"2018-04-02",155.509995,167.352568913247,0.0761531367372669,"Buy"
"2018-04-03",157.259995,166.314915421351,0.057579299944345,"Buy"
"2018-04-04",159.740005,165.267984897496,0.0346061082037408,"Buy"
"2018-04-05",160.649994,164.270498236863,0.0225365973985864,"Buy"
"2018-04-06",156.630005,163.355254987594,0.0429371753361974,"Buy"
"2018-04-09",157.729996,162.474915115472,0.0300825412781497,"Buy"
"2018-04-10",161.210007,161.657822088015,0.00277783678785756,"Hold"
"2018-04-11",160.279999,160.968177624308,0.00429360262416698,"Hold"
"2018-04-12",162.210007,160.396654231547,-0.0111790437716523,"Hold"
"2018-04-13",161.369995,159.976633698374,-0.0086345748577739,"Hold"
"2018-04-16",162.600006,159.698124777816,-0.0178467473253584,"Hold"
"2018-04-17",166.100006,159.588943039339,-0.0391996551803889,"Hold"
"2018-04-18",166.440002,159.699040836202,-0.0405008476495799,"Sell"
"2018-04-19",164.910004,160.017693298403,-0.0296665489232382,"Hold"
"2018-04-20",162.300003,160.48034159935,-0.0112117151387248,"Hold"
"2018-04-23",161.889999,160.991727311713,-0.00554865460396192,"Hold"
"2018-04-24",158.460007,161.488258128131,0.0191105073479602,"Buy"
"2018-04-25",158.649994,161.892519351783,0.0204382317958557,"Buy"
"2018-04-26",161.990005,162.191220372865,0.00124214684026563,"Hold"
"2018-04-27",162.089996,162.442752150277,0.00217629809971054,"Hold"
"2018-04-30",160.940002,162.670047196494,0.0107496282775838,"Buy"
"2018-05-01",162.779999,162.857478176507,0.00047597479409834,"Hold"
"2018-05-02",161.820007,163.033970798336,0.00750193885689378,"Hold"
"2018-05-03",161.800003,163.172901144737,0.00848515524895779,"Hold"
"2018-05-04",164.869995,163.267868451818,-0.00971751438569652,"Hold"
"2018-05-07",166.240005,163.417294653624,-0.0169797296768377,"Hold"
"2018-05-08",166.070007,163.637773604392,-0.0146458318364953,"Hold"
"2018-05-09",167.880005,163.908177737196,-0.0236587273320832,"Hold"
"2018-05-10",169.619995,164.262956281592,-0.0315825897672475,"Hold"
"2018-05-11",169.460007,164.723508516741,-0.027950538697067,"Hold"
