"","Actual","Predicted","Profit","Signals"
"2022-10-21",374.290009,367.78574358243,-0.0173776089694388,"Hold"
"2022-10-24",378.869995,366.742267912169,-0.0320102601100163,"Hold"
"2022-10-25",384.920013,365.923648791866,-0.0493514589176072,"Sell"
"2022-10-26",382.019989,365.405197942247,-0.043491941616053,"Sell"
"2022-10-27",379.980011,365.130598703821,-0.0390794564616688,"Hold"
"2022-10-28",389.019989,365.118707048894,-0.0614397270755828,"Sell"
"2022-10-31",386.209991,365.393463323209,-0.0538995058695691,"Sell"
"2022-11-01",384.519989,365.872020775371,-0.0484967459640415,"Sell"
"2022-11-02",374.869995,366.43400017896,-0.0225037878025952,"Hold"
"2022-11-03",371.01001,367.165699485558,-0.0103617433784107,"Hold"
"2022-11-04",376.350006,367.994014450375,-0.0222027140066647,"Hold"
"2022-11-07",379.950012,368.758161858556,-0.0294561120883546,"Hold"
"2022-11-08",382,369.43201542477,-0.0329004831812307,"Hold"
"2022-11-09",374.130005,370.151693858337,-0.010633499287668,"Hold"
"2022-11-10",394.690002,370.883124857901,-0.0603179128466981,"Sell"
"2022-11-11",398.51001,371.839755194336,-0.066924930707925,"Sell"
"2022-11-14",395.119995,372.941811532946,-0.0561302483997408,"Sell"
"2022-11-15",398.48999,374.142156186338,-0.0611002394656429,"Sell"
"2022-11-16",395.450012,375.435658118981,-0.0506115900206844,"Sell"
"2022-11-17",394.23999,376.654053823575,-0.0446071850205374,"Sell"
"2022-11-18",396.029999,377.97726156249,-0.0455842675633016,"Sell"
"2022-11-21",394.589996,379.214354408803,-0.0389661211562921,"Hold"
"2022-11-22",399.899994,380.410727400205,-0.0487353510682859,"Sell"
"2022-11-23",402.420013,381.662326773348,-0.0515821419315243,"Sell"
"2022-11-25",402.329987,382.970238319244,-0.0481190796269341,"Sell"
"2022-11-28",395.910004,384.19979523754,-0.0295779562126448,"Hold"
"2022-11-29",395.230011,385.341485640052,-0.0250196723040543,"Hold"
"2022-11-30",407.679993,386.372066420387,-0.0522663043207359,"Sell"
"2022-12-01",407.380005,387.435967524503,-0.0489568393900356,"Sell"
"2022-12-02",406.910004,388.520731968271,-0.0451924795432875,"Sell"
"2022-12-05",399.589996,389.522717859086,-0.0251940194741867,"Hold"
"2022-12-06",393.829987,390.486042411168,-0.00849083284466187,"Hold"
"2022-12-07",393.160004,391.356466325511,-0.00458728674366707,"Hold"
"2022-12-08",396.23999,392.175583473922,-0.0102574364744903,"Hold"
"2022-12-09",393.279999,392.904068480192,-0.000955885172811909,"Hold"
"2022-12-12",398.950012,393.457423472711,-0.0137676108837639,"Hold"
"2022-12-13",401.970001,393.910713401522,-0.0200494752803158,"Hold"
"2022-12-14",399.399994,394.310729577713,-0.0127422746588407,"Hold"
"2022-12-15",389.630005,394.689151973027,0.0129844901781297,"Buy"
"2022-12-16",383.269989,394.82104058415,0.0301381582583282,"Buy"
"2022-12-19",380.019989,394.777185395529,0.0388326846552499,"Buy"
"2022-12-20",380.540009,394.590551381161,0.0369226416378224,"Buy"
"2022-12-21",386.230011,394.249623772255,0.0207638260721655,"Buy"
