"","Actual","Predicted","Profit","Signals"
"2022-05-12",392.339996,417.890490612419,0.0651233493217922,"Buy"
"2022-05-13",401.720001,416.974247750918,0.0379723357386866,"Buy"
"2022-05-16",400.089996,416.038442721966,0.0398621482201879,"Buy"
"2022-05-17",408.320007,415.08942728499,0.016578713188036,"Buy"
"2022-05-18",391.859985,414.176457300513,0.0569501177838116,"Buy"
"2022-05-19",389.459991,413.223224044962,0.0610158516769504,"Buy"
"2022-05-20",389.630005,412.223313180004,0.0579865715937448,"Buy"
"2022-05-23",396.920013,411.180642145439,0.0359282189820932,"Buy"
"2022-05-24",393.890015,410.135830912133,0.0412445487152873,"Buy"
"2022-05-25",397.369995,409.079599027644,0.0294677609658063,"Buy"
"2022-05-26",405.309998,408.048167165421,0.00675574049229632,"Hold"
"2022-05-27",415.26001,407.122603175188,-0.0195959317749189,"Hold"
"2022-05-31",412.929993,406.34481302442,-0.0159474489313252,"Hold"
"2022-06-01",409.589996,405.747944762057,-0.00938023700643152,"Hold"
"2022-06-02",417.390015,405.279175529669,-0.0290156425288004,"Hold"
"2022-06-03",410.540009,404.957131939995,-0.0135988623218567,"Hold"
"2022-06-06",411.790009,404.819082863235,-0.0169283517919558,"Hold"
"2022-06-07",415.73999,404.802874925393,-0.0263075848792107,"Hold"
"2022-06-08",411.220001,404.91626791138,-0.0153293445680907,"Hold"
"2022-06-09",401.440002,405.053184309859,0.0090005537361934,"Hold"
"2022-06-10",389.799988,405.267354373459,0.0396802638522891,"Buy"
"2022-06-13",375,405.409139411181,0.0810910384298162,"Buy"
"2022-06-14",373.869995,405.462716345482,0.0845018904110826,"Buy"
"2022-06-15",379.200012,405.324185411111,0.0688928601909187,"Buy"
"2022-06-16",366.649994,405.066100597004,0.104775964068348,"Buy"
"2022-06-17",365.859985,404.598448398171,0.105883302318976,"Buy"
"2022-06-21",375.070007,403.844835609509,0.0767185540631865,"Buy"
"2022-06-22",374.390015,402.928214145599,0.0762258553973433,"Buy"
"2022-06-23",378.059998,401.796327487153,0.0627845569822843,"Buy"
"2022-06-24",390.079987,400.654950736917,0.0271097315661993,"Buy"
"2022-06-27",388.589996,399.484080546119,0.0280349073786221,"Buy"
"2022-06-28",380.649994,398.28448037747,0.0463272997647023,"Buy"
"2022-06-29",380.339996,396.998089517725,0.043797901069876,"Buy"
"2022-06-30",377.25,395.705024617166,0.0489198797009026,"Buy"
"2022-07-01",381.23999,394.373655165434,0.0344498623175244,"Buy"
"2022-07-05",381.959991,393.024259858508,0.0289670884888779,"Buy"
"2022-07-06",383.25,391.671741863943,0.0219745384577775,"Buy"
"2022-07-07",388.98999,390.396305442497,0.00361529982428789,"Hold"
"2022-07-08",388.670013,389.263805510727,0.0015277548842623,"Hold"
"2022-07-11",384.230011,388.215746431961,0.0103733058789126,"Buy"
"2022-07-12",380.829987,387.307932949716,0.0170100731844847,"Buy"
"2022-07-13",378.829987,386.462357322998,0.0201472179735291,"Buy"
"2022-07-14",377.910004,385.630258064676,0.020428816339764,"Buy"
"2022-07-15",385.130005,384.855828401406,-0.000711906616036498,"Hold"
"2022-07-18",381.950012,384.257132834854,0.00604037377240276,"Hold"
"2022-07-19",392.269989,383.84532605583,-0.0214766950835225,"Hold"
"2022-07-20",394.769989,383.764880866268,-0.0278772663585939,"Hold"
"2022-07-21",398.790009,383.890520545058,-0.0373617395588819,"Hold"
"2022-07-22",395.089996,384.158908976793,-0.0276673343640093,"Hold"
"2022-07-25",395.570007,384.705432505587,-0.0274656174688511,"Hold"
"2022-07-26",390.890015,385.38736741006,-0.0140772272986813,"Hold"
"2022-07-27",401.040009,386.03953039782,-0.037403945405806,"Hold"
"2022-07-28",406.070007,386.81694820407,-0.0474131515847958,"Sell"
"2022-07-29",411.98999,387.687571039751,-0.0589878869635853,"Sell"
"2022-08-01",410.769989,388.57673600664,-0.0540284187931744,"Sell"
"2022-08-02",408.059998,389.585038703509,-0.0452751050998409,"Sell"
"2022-08-03",414.450012,390.736769134503,-0.0572161712604731,"Sell"
"2022-08-04",414.170013,391.979373530509,-0.0535785758818111,"Sell"
"2022-08-05",413.470001,393.325830757583,-0.0487197866681919,"Sell"
"2022-08-08",412.98999,394.673861844259,-0.0443500535103562,"Sell"
"2022-08-09",411.350006,396.032850498178,-0.03723630795771,"Hold"
"2022-08-10",419.98999,397.379576814568,-0.053835600189976,"Sell"
"2022-08-11",419.98999,398.705999403417,-0.0506773758978946,"Sell"
"2022-08-12",427.100006,400.056577451753,-0.063318726687741,"Sell"
"2022-08-15",428.859985,401.49910895131,-0.0637990882937941,"Sell"
"2022-08-16",429.700012,403.012185656773,-0.0621080418848736,"Sell"
"2022-08-17",426.649994,404.555819644278,-0.0517852447355769,"Sell"
"2022-08-18",427.890015,406.073808794222,-0.0509855463810662,"Sell"
"2022-08-19",422.140015,407.49460038024,-0.0346932631339392,"Hold"
"2022-08-22",413.350006,408.838138301135,-0.0109153686545848,"Hold"
"2022-08-23",412.350006,409.958914074006,-0.00579869501928426,"Hold"
"2022-08-24",413.670013,410.89142745226,-0.00671691314434206,"Hold"
"2022-08-25",419.51001,411.641579627166,-0.0187562398638205,"Hold"
"2022-08-26",405.309998,412.297125005044,0.0172389702684896,"Buy"
"2022-08-29",402.630005,412.740365170856,0.0251107966254427,"Buy"
"2022-08-30",398.209991,412.985687016148,0.0371052870347189,"Buy"
"2022-08-31",395.179993,412.973202523485,0.0450255828702473,"Buy"
"2022-09-01",396.420013,412.734758100467,0.0411552004577207,"Buy"
"2022-09-02",392.23999,412.307281562232,0.0511607487095649,"Buy"
"2022-09-06",390.76001,411.715610478393,0.0536278020834151,"Buy"
"2022-09-07",397.779999,410.986021733507,0.0331993131044953,"Buy"
"2022-09-08",400.380005,410.164085290264,0.0244369852841771,"Buy"
"2022-09-09",406.600006,409.307799282998,0.006659599712348,"Hold"
"2022-09-12",410.970001,408.475224424955,-0.00607045908210928,"Hold"
"2022-09-13",393.100006,407.714430706303,0.0371773708553525,"Buy"
"2022-09-14",394.600006,406.941621836818,0.0312762687510409,"Buy"
"2022-09-15",390.119995,406.159726509516,0.0411148664900291,"Buy"
